objectid,service_request_id,subject,status,status_notes,service_name,service_code,agency_responsible,service_notice,requested_datetime,updated_datetime,expected_datetime,closed_datetime,address,zipcode,media_url,latitude,longitude,complaint_text_clean,complaint_keywords
5065545,17357874,What day is trash/recycling collection in my neighborhood?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 22:58:47+00,2025-01-07 22:58:48+00,,2025-01-07 22:58:47+00,,,,,,question answered,"answered, question"
5065546,17357877,How can I obtain a Protection From Abuse Order?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 22:59:27+00,2025-01-07 22:59:27+00,,2025-01-07 22:59:27+00,,,,,,question answered,"answered, question"
5065547,17357879,What day is trash/recycling collection in my neighborhood?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 22:59:54+00,2025-01-07 22:59:55+00,,2025-01-07 22:59:54+00,,,,,,question answered,"answered, question"
5065550,17357885,Rubbish Collection,Closed,,Rubbish/Recyclable Material Collection,SR-ST03,Streets Department,2 Business Days,2025-01-07 23:01:15+00,2025-01-09 11:46:25+00,2025-01-10 00:00:00+00,2025-01-09 11:42:23+00,3523 JUDSON ST,19140.0,,40.0086689,-75.16697111,nan,nan
5065551,17357887,How do I contact the Fire Department?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:02:02+00,2025-01-07 23:02:04+00,,2025-01-07 23:02:02+00,,,,,,question answered,"answered, question"
5065556,17357899,What is the Clean and Green Initiative in Philadelphia?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:07:37+00,2025-01-07 23:07:38+00,,2025-01-07 23:07:37+00,,,,,,question answered,"answered, question"
5065557,17357900,Rubbish/Recyclable Material Collection,Closed,,Rubbish/Recyclable Material Collection,SR-ST03,Streets Department,2 Business Days,2025-01-07 23:08:00+00,2025-01-09 11:47:47+00,2025-01-10 00:00:00+00,2025-01-09 11:39:44+00,1908 MOUNT VERNON ST,19130.0,,39.96544271,-75.16937728,nan,nan
5065558,17357901,"How do I log: Wrong-Number, Non-Responsive or Hang-Up calls?",Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:08:25+00,2025-01-07 23:08:26+00,,2025-01-07 23:08:25+00,,,,,,question answered,"answered, question"
5065559,17357902,What day is trash/recycling collection in my neighborhood?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:09:43+00,2025-01-07 23:09:44+00,,2025-01-07 23:09:43+00,,,,,,question answered,"answered, question"
5065560,17357905,Street Light Outage,Closed,,Street Light Outage,SR-ST04,Streets Department,10 Business Days,2025-01-07 23:13:09+00,2025-02-24 17:01:29+00,2025-01-23 00:00:00+00,2025-02-24 17:00:58+00,2049 NORTH ST,19130.0,,39.96689897,-75.17179473,nan,nan
5065561,17357906,What calls are considered 911 transfers?,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:13:12+00,2025-01-07 23:13:13+00,,2025-01-07 23:13:12+00,,,,,,question answered,"answered, question"
5065562,17357908,SCI-Graterford,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:14:02+00,2025-01-07 23:14:03+00,,2025-01-07 23:14:02+00,,,,,,question answered,"answered, question"
5065563,17357909,No Information in the Knowledge Base,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-07 23:14:04+00,2025-01-07 23:14:04+00,,2025-01-07 23:14:04+00,,,,,,question answered,"answered, question"
5065635,17358001,Handling Spam/Junk Request,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2025-01-08 00:00:45+00,2025-01-08 13:21:02+00,2025-01-10 00:00:00+00,2025-01-08 13:21:00+00,Hawthorne St,,,40.0266765,-75.0632947,question answered,"answered, question"
